year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
2006,1346,1.3275,1.262646,1.234431,1.207824,1.31033,1.252618
2006,1348,.7361791,.6814688,.6865497,.6630492,.7256469,.6780128
2006,1351,1.080427,1.009044,1.08273,1.006572,1.085808,1.011577
2006,1352,1.110971,1.084715,1.101011,1.078508,1.113549,1.086517
2006,1355,4.659409,3.910418,4.526847,3.9189,4.642163,3.922235
2006,1375,1.270915,1.220563,1.226042,1.180373,1.263696,1.212688
2006,1378,1.311904,1.290983,1.340215,1.341234,1.323755,1.30664
2006,1384,1.213589,1.198732,1.181122,1.184802,1.210196,1.198016
2006,1385,1.715353,1.70262,1.59977,1.613662,1.696432,1.687903
2006,1386,1.33043,1.325429,1.256149,1.304752,1.316519,1.323906
2006,1387,1.149901,1.117438,1.084816,1.06683,1.136302,1.106055
2006,1391,2.571193,1.619287,1.377196,1.03749,2.112367,1.432284
2006,1395,.9917074,.9795479,.9552225,.9518702,.9873788,.9758613
2006,1402,1.157695,1.143241,1.133516,1.120303,1.15652,1.140899
2006,1406,.9817591,.936457,1.087981,1.072536,1.009747,.9683912
2006,1410,1.103081,1.073223,1.091713,1.071693,1.1045,1.075615
2006,1423,.6908187,.6338987,.7495636,.6658595,.7075986,.6432458
2006,1426,1.439406,1.296641,1.396019,1.333516,1.434183,1.308827
2006,1428,1.18715,1.112228,1.169386,1.100717,1.186679,1.111615
2006,1430,1.55366,1.51105,1.475327,1.446362,1.539006,1.498603
2006,1431,.9589522,.8640761,.8708352,.7986947,.9397858,.8502775
2006,1432,1.090072,.8300778,1.229779,.8350008,1.130142,.8326859
2006,1435,.7363216,.7268784,.7675168,.7561306,.7468795,.735858
2006,1438,.8048,.7868016,.835596,.8136601,.8156344,.7953677
2006,1440,.9849409,.9095903,1.034645,.9423901,1.001083,.9198821
2006,1443,.7504249,.7348098,.8392872,.7989425,.7750126,.7524664
2006,1444,.9038002,.8433209,.9370403,.8651187,.9154634,.8507034
2006,1460,1.676617,1.667488,1.52278,1.557749,1.642657,1.643862
2006,1461,1.121466,1.072265,1.20092,1.118475,1.146467,1.086597
